via,numero_de_la_via,via,cruce_1,via,cruce_2,direccion_completa,precio,zona,kilometros
Calle,29,Avenida,62,Avenida,64,Calle 29 entre Avenida 62 y Avenida 64,330,Casco Historico,2.3
Calle,29,Avenida,66,Avenida,68,Calle 29 entre Avenida 66 y Avenida 68,340,Punta Gotica,2.4
Calle,29,Calle,31,Avenida,84,Calle 29 entre Calle 31 y Avenida 84,550,Pastorita,4.5
Calle,29,Avenida,84A,Avenida,90,Calle 29 entre Avenida 84A y Avenida 90,530,Pastorita,4.3
Calle,29,Avenida,90,Calle,CARRETERA DEL PUERTO,Calle 29 entre Avenida 90 y Calle CARRETERA DEL PUERTO,580,Pastorita,4.8
Calle,31,Avenida,46,Avenida,48,Calle 31 entre Avenida 46 y Avenida 48,240,Casco Historico,1.4
Calle,31,Avenida,48,Avenida,50,Calle 31 entre Avenida 48 y Avenida 50,240,Casco Historico,1.4
Calle,31,Avenida,50,Avenida,52,Calle 31 entre Avenida 50 y Avenida 52,250,Casco Historico,1.5
Calle,31,Avenida,52,Avenida,54,Calle 31 entre Avenida 52 y Avenida 54,260,Casco Historico,1.6
Calle,31,Avenida,54,Avenida,56,Calle 31 entre Avenida 54 y Avenida 56,270,Casco Historico,1.7
Calle,31,Avenida,56,Avenida,58,Calle 31 entre Avenida 56 y Avenida 58,280,Casco Historico,1.8
Calle,31,Avenida,58,Avenida,60,Calle 31 entre Avenida 58 y Avenida 60,290,Casco Historico,1.9
Calle,31,Avenida,60,Avenida,62,Calle 31 entre Avenida 60 y Avenida 62,300,Casco Historico,2
Calle,31,Avenida,62,Avenida,64,Calle 31 entre Avenida 62 y Avenida 64,310,Casco Historico,2.1
Calle,31,Avenida,64,Avenida,66,Calle 31 entre Avenida 64 y Avenida 66,320,Punta Gotica,2.2
Calle,31,Avenida,66,Avenida,68,Calle 31 entre Avenida 66 y Avenida 68,330,Punta Gotica,2.3
Calle,31,Avenida,68,Avenida,70,Calle 31 entre Avenida 68 y Avenida 70,340,Punta Gotica,2.4
Calle,31,Avenida,29,Avenida,84,Calle 31 entre Avenida 29 y Avenida 84,550,Pastorita,4.5
Calle,31,Avenida,84,Avenida,86,Calle 31 entre Avenida 84 y Avenida 86,560,Pastorita,4.6
Calle,31,Avenida,86,Avenida,88,Calle 31 entre Avenida 86 y Avenida 88,570,Pastorita,4.7
Calle,31,Avenida,88,Avenida,90,Calle 31 entre Avenida 88 y Avenida 90,580,Pastorita,4.8
Calle,31,Avenida,90,Calle,CARRETERA DEL PUERTO,Calle 31 entre Avenida 90 y Calle CARRETERA DEL PUERTO,590,Pastorita,4.9
Calle,33,Avenida,2,Avenida,4,Calle 33 entre Avenida 2 y Avenida 4,220,Punta Gorda,1.2
